15	0	0	10	0	0	0	6	3	5	0	0	11	0	0	0
0	0	0	6	9	8	13	5	0	0	0	0	0	14	10	0
0	0	0	1	10	0	12	0	14	0	0	15	0	0	8	5
0	12	0	0	0	7	0	15	9	0	0	0	13	0	0	0
0	10	0	14	0	0	0	0	8	0	6	0	0	5	11	0
0	11	0	0	0	1	0	14	0	15	13	0	10	0	2	4
0	0	0	0	0	0	0	0	11	3	5	0	0	12	0	13
0	0	6	8	0	0	0	0	0	0	0	12	0	0	0	9
0	14	0	0	0	0	0	4	0	6	12	10	0	15	0	0
0	0	10	0	0	6	0	1	0	11	0	0	0	0	0	2
0	0	12	15	8	0	0	0	7	0	0	13	0	0	0	0
0	13	8	2	0	0	9	0	0	0	0	0	12	10	6	7
11	0	0	0	0	5	4	9	6	12	0	0	0	0	15	0
0	15	0	12	0	0	0	11	0	7	1	0	0	0	0	0
0	0	2	0	0	0	0	13	15	0	0	0	0	0	0	10
14	0	3	5	0	0	0	0	0	0	9	11	0	0	0	0


